aX,aY,aZ,gX,gY,gZ
-0.314,-1.734,0.061,9.583,134.338,42.969
-0.263,-1.638,0.080,0.916,130.859,57.922
-0.206,-1.554,0.099,-9.888,126.648,65.613
-0.162,-1.500,0.092,-21.851,122.375,67.383
-0.136,-1.456,0.064,-33.875,118.408,66.528
-0.093,-1.420,0.036,-44.495,115.601,64.819
-0.060,-1.370,-0.004,-53.040,113.647,63.171
0.018,-1.319,-0.041,-58.655,110.962,62.378
0.106,-1.270,-0.061,-63.232,106.995,61.462
0.180,-1.229,-0.070,-67.749,100.586,60.181
0.242,-1.184,-0.076,-70.068,94.177,60.486
0.301,-1.151,-0.095,-71.777,87.524,63.416
0.346,-1.101,-0.134,-75.012,80.566,67.566
0.379,-1.027,-0.173,-79.041,72.754,70.923
0.413,-0.938,-0.208,-82.458,63.965,72.998
0.414,-0.847,-0.248,-85.449,55.237,74.341
0.419,-0.743,-0.296,-86.975,46.265,74.158
0.431,-0.641,-0.327,-86.121,36.499,71.350
0.434,-0.567,-0.327,-83.862,25.330,66.467
0.410,-0.515,-0.314,-81.970,13.306,61.096
0.375,-0.471,-0.278,-79.163,0.732,57.556
0.337,-0.444,-0.225,-74.219,-11.780,56.580
0.290,-0.414,-0.167,-68.481,-23.743,57.983
0.229,-0.374,-0.112,-62.927,-33.752,61.035
0.170,-0.331,-0.061,-57.983,-42.053,63.232
0.113,-0.293,-0.022,-54.688,-49.011,63.232
0.057,-0.262,0.006,-53.040,-56.213,60.608
0.019,-0.235,0.040,-52.307,-63.904,55.664
-0.031,-0.213,0.068,-52.368,-71.106,49.805
-0.082,-0.188,0.079,-52.246,-77.087,45.288
-0.130,-0.157,0.094,-49.377,-81.421,42.786
-0.177,-0.132,0.102,-44.434,-84.961,41.626
-0.233,-0.125,0.108,-37.781,-90.332,41.382
-0.297,-0.133,0.128,-28.564,-98.511,41.321
-0.366,-0.158,0.177,-16.846,-105.408,42.725
-0.447,-0.187,0.231,-5.066,-108.765,46.631
-0.500,-0.213,0.272,4.578,-108.643,50.720
-0.528,-0.233,0.304,8.972,-107.605,50.537
-0.581,-0.236,0.318,8.362,-107.849,44.800
-0.609,-0.199,0.322,5.554,-108.459,37.720
-0.642,-0.188,0.321,3.235,-107.788,30.273
-0.694,-0.177,0.293,0.549,-104.492,22.522
-0.734,-0.189,0.259,1.221,-102.478,17.456
-0.784,-0.221,0.243,7.202,-103.699,12.634
-0.818,-0.285,0.261,17.639,-106.140,10.010
-0.845,-0.352,0.296,28.625,-108.704,10.559
-0.902,-0.415,0.341,38.513,-109.680,13.733
-0.969,-0.463,0.376,46.631,-107.483,19.592
-1.043,-0.495,0.423,52.856,-102.905,25.818
-1.084,-0.487,0.494,59.875,-98.389,27.039
-1.171,-0.552,0.383,80.017,-97.473,11.841
-1.161,-0.536,0.526,80.505,-87.769,0.916
-1.179,-0.557,0.508,79.224,-78.125,-7.812
-1.125,-0.573,0.519,69.153,-63.354,-16.235
-1.076,-0.585,0.497,58.899,-52.307,-21.729
-1.048,-0.592,0.492,49.866,-46.753,-28.259
-1.049,-0.608,0.486,46.021,-44.678,-31.921
-1.080,-0.652,0.476,48.035,-43.579,-30.029
-1.162,-0.706,0.505,56.580,-42.603,-22.888
-1.252,-0.775,0.568,72.327,-37.354,-11.780
