aX,aY,aZ,gX,gY,gZ
0.572,-0.549,0.894,-1.892,-30.396,42.908
0.545,-0.570,0.854,-1.038,-32.410,47.852
0.486,-0.545,0.813,1.587,-35.767,57.678
0.490,-0.526,0.798,6.165,-41.504,73.608
0.462,-0.442,0.820,13.062,-45.349,78.003
0.384,-0.459,0.834,16.357,-47.424,70.313
0.401,-0.498,0.904,15.137,-52.185,69.641
0.396,-0.538,0.955,18.066,-56.152,66.956
0.379,-0.586,0.982,11.475,-57.556,63.721
0.370,-0.655,0.975,-3.357,-61.157,61.707
0.346,-0.719,0.959,-19.043,-67.871,62.012
0.294,-0.757,0.943,-33.447,-73.364,65.918
0.230,-0.759,0.923,-43.945,-74.951,74.707
0.143,-0.763,0.920,-46.387,-72.693,86.426
0.074,-0.762,0.905,-42.603,-67.871,98.694
0.017,-0.738,0.903,-37.231,-63.354,111.145
-0.053,-0.691,0.885,-35.522,-59.753,122.375
-0.111,-0.610,0.845,-37.231,-55.603,131.775
-0.180,-0.538,0.783,-38.879,-52.185,137.634
-0.254,-0.477,0.728,-39.551,-50.781,140.015
-0.328,-0.402,0.698,-36.011,-52.063,140.686
-0.393,-0.333,0.705,-27.283,-53.467,139.343
-0.471,-0.280,0.729,-19.653,-52.734,136.047
-0.539,-0.247,0.754,-17.395,-52.368,132.385
-0.574,-0.191,0.759,-13.245,-48.767,125.427
-0.599,-0.176,0.729,-15.503,-42.480,119.324
-0.640,-0.199,0.732,-16.479,-41.931,106.445
-0.644,-0.219,0.767,-20.569,-46.204,93.384
-0.647,-0.250,0.810,-23.193,-50.171,80.200
-0.662,-0.276,0.854,-24.048,-51.941,67.871
-0.657,-0.296,0.895,-24.414,-50.842,59.326
-0.649,-0.302,0.916,-23.560,-45.288,54.382
-0.645,-0.313,0.922,-20.630,-34.058,50.232
-0.635,-0.325,0.899,-18.494,-21.973,48.523
-0.626,-0.341,0.888,-15.320,-15.930,50.110
-0.609,-0.328,0.885,-11.169,-14.832,53.406
-0.599,-0.302,0.889,-6.287,-15.137,56.824
-0.610,-0.276,0.906,-4.395,-14.709,59.204
-0.661,-0.240,0.913,-3.479,-12.146,59.509
-0.663,-0.189,0.910,-3.113,-6.531,56.763
-0.621,-0.145,0.893,-3.906,-2.319,52.124
-0.595,-0.126,0.885,-7.874,-2.563,46.082
-0.599,-0.126,0.884,-13.489,-4.456,40.588
-0.590,-0.133,0.902,-16.052,-4.456,34.546
-0.566,-0.162,0.918,-15.869,-1.831,27.832
-0.554,-0.213,0.869,-15.015,2.258,22.705
-0.512,-0.224,0.875,-20.386,4.822,19.775
-0.518,-0.233,0.884,-21.423,7.080,18.799
-0.509,-0.237,0.864,-14.343,11.902,18.372
-0.470,-0.221,0.855,-6.409,16.724,19.226
-0.448,-0.211,0.859,0.122,16.907,20.569
-0.457,-0.202,0.871,3.662,13.184,21.790
-0.473,-0.191,0.880,4.272,9.644,21.301
-0.474,-0.182,0.880,4.028,7.141,18.188
-0.483,-0.181,0.870,1.404,3.418,14.282
-0.500,-0.170,0.867,-2.502,-2.441,10.559
-0.524,-0.157,0.891,-4.456,-8.057,6.042
-0.535,-0.162,0.915,-4.395,-9.949,1.709
-0.543,-0.168,0.922,-2.686,-8.545,-1.648
-0.543,-0.175,0.921,0.244,-5.310,-4.761
-0.528,-0.191,0.913,1.648,-1.221,-7.263
-0.518,-0.212,0.898,1.831,1.648,-8.484
-0.510,-0.222,0.893,1.282,3.113,-9.033
-0.520,-0.222,0.901,0.244,4.639,-9.216
-0.526,-0.224,0.902,0.916,7.874,-8.179
-0.528,-0.218,0.901,3.479,11.292,-6.470
-0.537,-0.198,0.904,6.042,12.817,-5.371
-0.535,-0.172,0.906,7.874,13.367,-5.981
-0.523,-0.153,0.911,8.850,13.123,-9.155
-0.508,-0.155,0.924,8.362,12.085,-14.282
-0.488,-0.178,0.938,5.432,10.986,-20.508
-0.462,-0.207,0.951,2.686,10.559,-26.245
-0.448,-0.237,0.969,1.282,10.132,-29.846
-0.442,-0.269,0.978,0.122,10.803,-30.457
-0.445,-0.286,0.964,-0.427,13.733,-30.029
-0.433,-0.298,0.934,-0.732,18.433,-29.236
-0.430,-0.310,0.912,-2.625,21.912,-28.015
-0.440,-0.302,0.890,-4.272,23.926,-25.635
-0.458,-0.291,0.873,-3.540,26.428,-23.010
-0.467,-0.258,0.865,0.305,28.870,-20.447
-0.487,-0.212,0.887,6.592,29.968,-19.348
-0.490,-0.195,0.924,12.085,31.372,-21.851
-0.482,-0.192,0.963,15.442,33.020,-27.161
-0.459,-0.199,0.989,15.198,32.776,-33.508
-0.438,-0.220,0.995,10.986,31.433,-40.344
-0.412,-0.252,0.985,4.150,31.677,-46.631
-0.386,-0.275,0.965,-1.648,32.898,-51.636
-0.363,-0.297,0.936,-2.991,34.058,-54.321
-0.334,-0.304,0.932,-2.747,34.668,-54.565
-0.318,-0.297,0.944,-1.953,34.302,-53.162
-0.318,-0.288,0.955,-0.549,34.485,-51.086
-0.319,-0.275,0.959,1.099,36.987,-49.438
-0.322,-0.267,0.948,3.113,40.405,-49.500
-0.286,-0.259,0.908,3.662,43.274,-51.270
-0.255,-0.257,0.882,2.319,43.396,-54.321
-0.247,-0.265,0.877,0.916,40.466,-58.105
-0.218,-0.260,0.880,0.916,38.574,-62.866
-0.192,-0.275,0.906,0.671,38.391,-67.932
-0.193,-0.310,0.898,0.854,39.490,-71.838
-0.164,-0.336,0.875,1.038,40.649,-72.998
-0.126,-0.350,0.879,1.465,38.330,-71.716
-0.125,-0.362,0.890,0.977,35.095,-69.214
-0.110,-0.355,0.885,-0.061,35.950,-66.895
-0.088,-0.338,0.859,0.732,38.269,-65.063
