aX,aY,aZ,gX,gY,gZ
0.550,-1.041,1.226,-70.862,-26.001,46.143
0.562,-1.068,1.359,-87.036,-33.386,43.823
0.573,-1.135,1.494,-97.900,-35.706,36.194
0.552,-1.237,1.601,-106.689,-31.982,26.611
0.457,-1.343,1.681,-122.864,-22.949,11.719
0.435,-1.400,1.688,-120.667,-18.921,-0.427
0.373,-1.409,1.622,-110.962,-19.226,-7.263
0.294,-1.339,1.539,-105.225,-20.020,-11.780
0.262,-1.247,1.424,-101.685,-16.846,-17.334
0.191,-1.107,1.342,-98.755,-10.803,-19.409
0.170,-0.998,1.254,-93.140,-2.625,-20.569
0.203,-0.875,1.095,-83.862,5.493,-23.315
0.248,-0.691,0.908,-72.754,9.644,-24.841
0.304,-0.452,0.725,-61.707,10.681,-27.893
0.283,-0.153,0.571,-55.908,13.428,-37.415
0.312,0.100,0.392,-54.443,23.682,-50.110
0.350,0.355,0.187,-48.523,34.119,-57.251
0.292,0.698,0.008,-49.744,32.104,-53.284
0.205,1.074,-0.165,-56.763,23.865,-40.466
0.147,1.432,-0.401,-63.904,28.076,-19.836
0.029,1.867,-0.575,-70.313,51.392,17.212
0.017,2.262,-0.668,-81.116,64.758,46.814
0.075,2.528,-0.450,-103.455,49.744,52.368
0.174,2.622,0.016,-123.108,16.113,47.302
0.219,2.624,0.562,-132.202,-13.855,38.513
0.201,2.387,0.873,-116.943,-35.156,15.503
0.090,2.217,0.998,-80.200,-51.025,-9.766
-0.028,2.045,0.792,-34.729,-54.443,-28.931
-0.034,1.850,0.527,4.639,-46.936,-32.959
-0.022,1.665,0.360,31.067,-40.527,-19.104
-0.018,1.390,0.259,46.387,-46.570,-2.502
0.102,1.237,0.212,45.715,-41.077,22.339
0.117,1.090,0.230,25.940,-47.729,35.522
0.149,0.976,0.324,-2.808,-65.125,28.503
0.195,0.885,0.462,-21.606,-59.998,20.264
0.264,0.811,0.563,-25.696,-33.142,10.620
0.296,0.737,0.641,-26.062,-10.498,-3.357
0.296,0.674,0.707,-23.132,2.625,-16.174
0.275,0.599,0.759,-17.334,9.460,-22.827
0.271,0.513,0.797,-8.972,12.817,-22.705
0.314,0.400,0.806,0.305,13.916,-14.709
0.383,0.326,0.832,7.751,11.597,-3.113
0.483,0.269,0.853,9.277,4.456,6.836
0.552,0.250,0.888,5.005,-1.953,12.024
0.567,0.255,0.930,-1.770,-2.686,8.972
0.538,0.278,0.947,-6.348,3.784,-0.488
0.472,0.293,0.936,-7.629,13.428,-11.230
0.411,0.286,0.891,-5.554,20.081,-21.484
0.354,0.280,0.821,-1.770,21.667,-27.893
0.311,0.303,0.759,3.113,18.188,-29.053
0.308,0.332,0.718,5.249,14.160,-27.405
0.323,0.352,0.708,4.089,10.681,-23.376
0.358,0.362,0.700,0.732,6.714,-16.602
0.374,0.395,0.700,-3.540,0.793,-8.850
0.370,0.443,0.706,-8.057,-6.531,-2.808
0.337,0.479,0.721,-12.573,-12.695,0.122
0.323,0.512,0.736,-15.198,-14.404,0.000
