aX,aY,aZ,gX,gY,gZ
-0.610,-1.481,1.048,206.116,-114.990,-56.458
-0.612,-1.800,1.337,205.627,-108.521,-55.420
-0.628,-2.057,1.593,195.435,-104.431,-52.979
-0.633,-2.252,1.807,175.049,-97.473,-48.706
-0.614,-2.383,1.963,151.001,-88.196,-44.312
-0.621,-2.526,2.099,126.221,-78.003,-38.635
-0.657,-2.676,2.247,106.934,-68.970,-37.354
-0.687,-2.785,2.390,94.910,-63.843,-42.725
-0.662,-2.863,2.498,78.857,-55.359,-43.152
-0.657,-2.938,2.540,57.800,-39.246,-33.875
-0.637,-2.945,2.538,34.729,-19.104,-15.137
-0.628,-2.874,2.499,11.292,0.122,6.897
-0.661,-2.761,2.437,-12.695,16.357,27.710
-0.671,-2.620,2.337,-37.231,30.212,43.152
-0.663,-2.430,2.207,-59.387,40.466,52.673
-0.668,-2.237,2.045,-82.886,51.758,59.570
-0.667,-2.026,1.854,-106.750,67.078,65.002
-0.622,-1.802,1.678,-125.122,79.651,68.237
-0.585,-1.579,1.495,-138.855,86.792,69.153
-0.540,-1.364,1.300,-150.635,91.064,68.848
-0.491,-1.179,1.125,-155.823,93.445,65.308
-0.442,-1.044,0.983,-157.959,94.177,58.472
-0.359,-0.935,0.851,-155.884,93.018,49.133
-0.292,-0.854,0.735,-150.513,88.501,39.063
-0.240,-0.777,0.625,-143.188,83.618,31.250
-0.201,-0.698,0.517,-132.324,80.139,24.170
-0.166,-0.622,0.404,-121.277,78.125,18.738
-0.138,-0.545,0.303,-113.098,76.965,15.137
-0.106,-0.477,0.221,-106.567,76.111,11.047
-0.069,-0.421,0.170,-101.440,77.026,7.446
-0.028,-0.366,0.129,-97.961,79.468,5.920
0.001,-0.311,0.094,-94.238,80.383,6.958
0.018,-0.247,0.067,-90.820,80.444,10.742
0.029,-0.173,0.055,-86.487,80.688,15.686
0.040,-0.094,0.035,-81.604,80.139,21.790
0.040,-0.020,-0.005,-79.285,79.651,27.649
0.042,0.043,-0.044,-79.163,77.881,30.884
0.054,0.086,-0.069,-79.041,73.975,31.494
0.063,0.129,-0.111,-79.895,69.275,31.250
0.072,0.173,-0.166,-79.468,63.171,30.579
0.089,0.227,-0.217,-75.989,55.237,29.724
0.098,0.279,-0.262,-71.228,48.889,28.809
0.126,0.326,-0.315,-65.857,43.396,27.954
0.148,0.383,-0.382,-59.021,34.912,28.015
0.164,0.455,-0.439,-49.988,24.780,28.625
0.157,0.532,-0.492,-39.978,14.099,28.320
0.145,0.603,-0.529,-28.870,3.601,26.306
0.136,0.666,-0.557,-16.235,-7.629,22.522
0.126,0.716,-0.568,-2.136,-19.775,16.357
0.119,0.747,-0.567,14.465,-32.043,9.338
0.085,0.742,-0.546,30.579,-42.847,2.441
0.051,0.724,-0.526,45.166,-49.927,-4.578
0.058,0.682,-0.516,58.167,-54.932,-12.695
0.021,0.623,-0.497,69.519,-64.392,-19.531
-0.009,0.545,-0.487,79.407,-75.378,-24.963
-0.063,0.465,-0.464,90.637,-85.022,-27.283
-0.162,0.402,-0.427,105.103,-90.027,-29.175
-0.211,0.332,-0.400,122.253,-88.684,-34.302
-0.245,0.227,-0.358,139.954,-91.736,-41.809
-0.281,0.113,-0.271,157.227,-102.783,-48.828
-0.348,-0.023,-0.160,174.805,-114.197,-53.101
-0.488,-0.210,-0.015,193.298,-118.408,-53.711
-0.645,-0.463,0.174,210.327,-114.746,-56.824
-0.763,-0.817,0.424,221.008,-113.159,-67.566
-0.846,-1.279,0.751,218.079,-119.080,-83.679
-0.845,-1.748,1.127,203.369,-127.808,-100.525
-0.794,-2.143,1.491,182.068,-136.414,-112.915
-0.766,-2.478,1.834,159.058,-141.052,-113.220
-0.760,-2.750,2.135,139.832,-137.085,-100.098
-0.751,-2.933,2.394,129.272,-125.488,-77.759
-0.746,-3.057,2.607,124.634,-106.567,-50.842
-0.737,-3.157,2.811,119.568,-81.421,-22.644
-0.807,-3.236,2.930,119.385,-58.044,-6.042
-0.806,-3.206,2.989,107.971,-35.645,2.747
-0.790,-3.145,2.938,74.097,-12.329,15.686
-0.764,-3.030,2.815,29.297,8.789,32.166
-0.739,-2.862,2.654,-16.663,27.527,49.316
-0.722,-2.627,2.468,-57.678,41.870,63.049
-0.722,-2.361,2.228,-91.736,53.650,74.097
-0.733,-2.067,1.949,-117.981,64.758,82.275
-0.741,-1.806,1.672,-138.916,75.684,85.266
-0.704,-1.574,1.432,-153.870,82.520,81.726
-0.608,-1.366,1.234,-161.011,84.229,72.876
-0.521,-1.192,1.062,-164.368,84.595,63.660
-0.439,-1.039,0.899,-164.124,84.656,54.810
-0.366,-0.914,0.770,-156.799,83.435,45.166
-0.310,-0.809,0.682,-142.639,82.153,36.011
-0.267,-0.726,0.629,-125.793,84.412,29.114
-0.235,-0.655,0.576,-109.680,88.501,22.888
-0.208,-0.590,0.512,-97.107,89.539,14.954
-0.166,-0.550,0.441,-91.492,88.562,7.141
-0.076,-0.539,0.385,-91.797,86.182,1.953
-0.057,-0.511,0.327,-96.985,82.458,1.282
-0.067,-0.449,0.241,-104.187,81.726,2.930
-0.057,-0.375,0.116,-113.281,85.510,4.028
-0.052,-0.304,-0.016,-121.704,86.731,3.967
-0.027,-0.239,-0.128,-127.319,83.313,2.991
0.000,-0.184,-0.212,-131.836,81.970,0.488
0.028,-0.135,-0.302,-132.202,83.679,-0.305
0.057,-0.077,-0.392,-126.465,84.473,1.526
0.089,-0.029,-0.461,-115.601,82.153,4.333
0.135,0.002,-0.490,-100.220,75.806,8.240
0.189,0.009,-0.472,-83.618,67.017,12.573
0.224,0.025,-0.450,-69.702,55.542,20.020
0.203,0.063,-0.442,-59.265,43.579,29.602
0.168,0.127,-0.431,-49.438,33.386,38.025
0.139,0.201,-0.426,-40.283,23.437,43.091
0.120,0.289,-0.418,-33.691,11.414,44.800
0.092,0.358,-0.396,-28.442,-2.380,43.091
0.065,0.442,-0.382,-25.024,-15.381,39.978
0.013,0.533,-0.373,-21.057,-26.306,34.302
0.010,0.632,-0.359,-14.954,-34.424,26.306
0.006,0.705,-0.359,-6.165,-43.945,18.738
-0.016,0.762,-0.348,8.484,-54.626,14.099
-0.057,0.811,-0.317,28.259,-61.096,12.024
-0.100,0.838,-0.281,49.438,-62.561,11.414
-0.153,0.851,-0.255,70.313,-62.927,10.254
-0.196,0.840,-0.239,87.158,-64.453,5.798
-0.246,0.785,-0.224,98.877,-68.237,-0.732

-0.671,-1.283,0.732,282.471,-52.246,-74.707
-0.630,-1.728,1.003,258.057,-59.082,-95.581
-0.578,-2.142,1.269,222.473,-72.327,-110.718
-0.556,-2.557,1.557,177.490,-86.426,-119.751
-0.466,-2.934,1.848,132.385,-96.802,-121.826
-0.391,-3.219,2.063,104.370,-102.539,-116.943
-0.420,-3.402,2.189,105.103,-102.478,-104.248
-0.449,-3.508,2.302,114.380,-88.684,-74.951
-0.495,-3.550,2.388,117.432,-65.430,-41.016
-0.544,-3.540,2.455,102.112,-42.969,-9.155
-0.636,-3.486,2.453,68.604,-22.827,16.113
-0.664,-3.368,2.401,21.973,-3.052,34.363
-0.679,-3.223,2.319,-26.733,9.338,44.128
-0.661,-3.023,2.232,-68.054,17.273,49.316
-0.639,-2.789,2.122,-98.755,25.391,53.162
-0.657,-2.541,1.999,-120.422,34.424,57.617
-0.684,-2.277,1.860,-137.390,44.983,62.866
-0.700,-2.050,1.698,-156.372,56.946,66.833
-0.695,-1.862,1.543,-176.697,68.909,66.956
-0.661,-1.706,1.423,-189.697,77.698,63.110
-0.611,-1.581,1.316,-197.815,86.365,58.044
-0.548,-1.452,1.196,-204.651,95.459,53.162
-0.484,-1.314,1.064,-206.970,100.464,48.767
-0.425,-1.171,0.940,-204.529,102.356,45.471
-0.364,-1.030,0.801,-197.998,104.187,42.114
-0.319,-0.891,0.661,-187.317,106.262,38.574
-0.276,-0.763,0.538,-172.424,106.140,32.898
-0.252,-0.664,0.420,-155.823,104.065,24.353
-0.248,-0.594,0.333,-143.860,101.807,16.785
-0.237,-0.529,0.248,-135.986,102.966,11.169
-0.198,-0.449,0.145,-130.981,109.070,6.653
-0.143,-0.366,0.035,-129.578,113.953,4.211
-0.083,-0.293,-0.081,-129.944,112.061,4.150
-0.034,-0.217,-0.188,-130.554,105.042,5.371
0.013,-0.135,-0.283,-129.395,97.595,8.972
0.054,-0.060,-0.381,-126.953,91.614,15.747
0.115,0.024,-0.473,-121.521,83.862,25.757
0.131,0.097,-0.552,-111.267,73.486,37.109
0.114,0.168,-0.594,-98.938,68.298,47.607
0.079,0.232,-0.595,-81.970,67.810,54.565
0.096,0.292,-0.602,-65.063,69.458,56.091
0.126,0.330,-0.612,-53.528,67.017,54.138
0.135,0.349,-0.598,-46.204,56.885,50.598
0.123,0.374,-0.576,-40.039,45.166,45.898
0.148,0.406,-0.583,-36.316,38.635,39.429
0.157,0.447,-0.626,-34.424,29.968,32.532
0.132,0.491,-0.647,-30.701,15.869,23.499
0.101,0.523,-0.653,-24.597,1.099,12.451
0.071,0.552,-0.654,-16.235,-9.827,1.892
0.070,0.575,-0.644,-5.554,-19.775,-8.057
0.062,0.594,-0.624,8.423,-32.654,-15.442
0.047,0.601,-0.572,26.611,-46.021,-19.043
0.020,0.599,-0.505,46.814,-56.396,-17.883
-0.024,0.603,-0.441,67.749,-62.988,-15.198
-0.064,0.610,-0.389,85.632,-63.782,-12.512
-0.100,0.616,-0.354,101.013,-63.477,-9.705
-0.159,0.615,-0.333,113.464,-66.162,-8.057
-0.233,0.595,-0.322,120.056,-72.449,-9.155
-0.270,0.537,-0.318,121.887,-81.177,-16.113
-0.300,0.448,-0.291,120.605,-90.820,-27.466
-0.307,0.357,-0.266,121.094,-98.999,-38.513
-0.323,0.259,-0.262,125.793,-103.577,-45.471
-0.357,0.151,-0.265,137.451,-101.196,-49.377
-0.392,0.018,-0.260,158.142,-97.717,-51.575
-0.420,-0.199,-0.179,185.547,-98.450,-54.443
-0.498,-0.462,0.030,217.346,-103.394,-55.786
-0.620,-0.766,0.293,246.765,-103.760,-57.373
-0.769,-1.138,0.606,264.587,-99.365,-65.613
-0.992,-1.662,1.001,266.296,-96.313,-83.862
-1.000,-2.232,1.443,249.329,-98.450,-112.122
-0.873,-2.742,1.860,221.863,-110.718,-142.639
-0.662,-3.139,2.225,187.073,-121.826,-152.771
-0.526,-3.357,2.469,158.081,-117.737,-131.592
-0.518,-3.427,2.549,152.039,-102.600,-97.656
-0.575,-3.364,2.542,152.466,-83.130,-60.364
-0.670,-3.323,2.519,141.296,-62.378,-27.222
-0.727,-3.323,2.544,117.249,-44.006,-6.470
-0.745,-3.356,2.616,84.351,-29.541,8.057
-0.726,-3.370,2.665,46.509,-17.456,20.386
-0.701,-3.326,2.662,6.531,-6.409,32.715
-0.695,-3.192,2.592,-29.480,3.418,45.776
-0.688,-2.989,2.443,-60.547,17.334,58.960
-0.687,-2.748,2.244,-87.769,32.898,71.472
-0.687,-2.494,2.034,-111.511,45.837,84.717
-0.714,-2.229,1.862,-132.141,56.580,96.741
-0.738,-1.970,1.672,-150.940,68.848,102.295
-0.703,-1.734,1.485,-169.861,81.482,99.243
-0.643,-1.535,1.323,-187.134,89.233,90.576
-0.575,-1.356,1.156,-199.646,93.445,80.566
-0.503,-1.170,0.983,-205.444,96.436,71.350
-0.415,-1.000,0.809,-205.444,99.915,63.110
-0.346,-0.855,0.636,-200.378,103.027,55.176
-0.288,-0.726,0.469,-189.575,103.394,46.570
-0.240,-0.617,0.314,-173.584,101.379,35.706
-0.209,-0.537,0.176,-155.945,98.022,22.095
-0.180,-0.475,0.086,-138.977,94.299,10.620
-0.163,-0.412,0.010,-124.878,93.506,2.991
-0.145,-0.347,-0.064,-112.793,96.069,-2.869
-0.111,-0.293,-0.146,-103.760,99.548,-8.301
-0.041,-0.273,-0.225,-97.900,103.088,-11.841
0.030,-0.259,-0.286,-94.788,104.431,-11.169
0.089,-0.224,-0.353,-91.553,103.760,-6.042
0.126,-0.170,-0.421,-89.905,100.952,2.258
0.153,-0.104,-0.476,-85.999,95.032,11.230
0.166,-0.046,-0.525,-81.177,87.219,19.836
0.184,0.012,-0.540,-75.195,78.430,26.367
0.192,0.062,-0.525,-68.481,68.054,31.128
0.193,0.101,-0.508,-63.660,59.753,34.241
0.193,0.151,-0.493,-58.960,55.115,35.156
0.173,0.206,-0.484,-53.467,48.950,35.095
0.157,0.261,-0.467,-48.279,39.978,33.081
0.145,0.306,-0.438,-44.434,29.175,28.015
0.114,0.364,-0.404,-41.016,16.846,20.081
0.106,0.430,-0.388,-36.560,4.761,9.644
0.110,0.478,-0.385,-30.579,-5.676,-1.831
0.141,0.512,-0.362,-21.179,-16.724,-10.315
0.158,0.550,-0.298,-8.789,-27.283,-13.245
0.127,0.582,-0.223,5.310,-33.325,-9.521
0.066,0.632,-0.178,21.729,-33.325,-2.625

-0.430,-1.419,1.095,190.002,-105.713,-67.078
-0.423,-1.693,1.365,172.668,-103.699,-67.078
-0.381,-1.895,1.560,160.339,-94.299,-56.274
-0.385,-2.104,1.725,153.198,-82.031,-41.809
-0.382,-2.301,1.867,142.456,-68.359,-27.527
-0.377,-2.420,1.981,134.888,-58.411,-19.531
-0.450,-2.527,2.020,136.902,-54.443,-25.391
-0.456,-2.639,2.055,126.587,-44.617,-30.640
-0.452,-2.777,2.066,104.919,-34.912,-31.372
-0.426,-2.846,2.054,80.139,-29.541,-29.541
-0.394,-2.879,2.030,54.810,-23.132,-19.836
-0.412,-2.883,1.985,29.358,-12.512,-4.272
-0.444,-2.855,1.955,6.592,-1.038,12.451
-0.465,-2.802,1.927,-10.925,8.423,24.780
